title,link,abstract
Faktor-faktor yang mempengaruhi literasi finansial mahasiswa fakultas ekonomi dan bisnis Universitas Brawijaya,https://e-journal.unipma.ac.id/index.php/assets/article/view/527,"Tujuan penelitian ini untuk menjelaskan:(1) pengaruh status sosial ekonomi orang tua terhadap 
pendidikan pengelolaan keuangan keluarga;(2) pengaruh status sosial ekonomi orang …"
… (survei pada mahasiswa sarjana jurusan ilmu administrasi bisnis angkatan 2014/2015 fakultas ilmu administrasi Universitas Brawijaya yang membeli Starbucks …,http://repository.ub.ac.id/162980/,"Penelitian ini bertujuan untuk : 1) Mengetahui dan menjelaskan pengaruh variabel-variabel 
Content Creation (X1), Content Sharing (X2), Connecting (X3), Community Building (X4) …"
Rancang Bangun Aplikasi Sistem Informasi Manajemen Laboratorium Biomedik Fakultas Kedokteran Universitas Brawijaya,http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/182,"Laboratorium Biomedik adalah salah satu laboratorium yang terdapat pada fakultas 
kedokteran universitas brawijaya. Mengingat tingkat kebutuhan yang tinggi akan manajemen …"
[PDF][PDF] Optimasi pemanfaatan energi listrik tenaga matahari di Jurusan Teknik Elektro Universitas Brawijaya,https://daudraven1.wordpress.com/wp-content/uploads/2016/01/jurnal4.pdf,"… Elektro Fakultas Teknik Universitas Brawijaya, Malang, … Universitas Brawijaya, Malang, 
Indonesia. Rudy Yuwono dosen di Jurusan Teknik Elektro Fakultas Teknik Universitas Brawijaya, …"
… consumer review oleh beauty vlogger terhadap keputusan pembelian (Survei pada mahasiswi Fakultas Ilmu Administrasi Universitas Brawijaya Angkatan 2014/2015 …,http://repository.ub.ac.id/10185/,"Penelitian ini bertujuan untuk menganalisis dan menjelaskan: (1) untuk mengetahui 
pengaruh secara bersama-sama dari variabel attractiveness, trustworthiness, dan expertise …"
… Keputusan Pembelian Dan Kepuasan Pelanggan Bisnis Online (Survei pada Mahasiswa Fakultas Ilmu Administrasi Universitas Brawijaya Angaktan 2013/2014 …,http://repository.ub.ac.id/9153/,"Penelitian ini bertujuan untuk menjelaskan pengaruh Diskon terhadap Keputusan 
Pembelian dan Kepuasan Pelanggan. Penelitian ini merupakan penelitian eksplanatori (explanatory …"
… Konsumen serta Dampaknya terhadap Keputusan Pembelian (Survei pada Mahasiswa Fakultas Ilmu Administrasi Universitas Brawijaya Angkatan 2015/2016 yang …,http://repository.ub.ac.id/165387/,"Kegiatan online shop (belanja online) membuat konsumen semakin mudah berbelanja 
tanpa menghabiskan waktu dan tenaga, serta didukung dengan keberadaan online store (toko …"
Sistem Pendukung Keputusan Pemilihan Personel Homeband Universitas Brawijaya Menggunakan Metode Profile Matching,http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/645,"… Universitas Universitas Brawijaya merupakan bagian dari Unit Kegiatan Mahasiswa 
Universitas Brawijaya … , maka diadakan seleksi Homeband Universitas Brawijaya setiap 2 tahun …"
Aksesibilitas sarana dan prasarana bagi penyandang tunadaksa di Universitas Brawijaya,https://ijds.ub.ac.id/index.php/ijds/article/view/30,"… dalam aksesibilitas pada sarana dan prasarana pejalan kaki bagi penyandang tunadaksa 
yang hendak mengunjungi kampus Universitas Brawijaya dapat dikatakan sangat baik. Hal …"
Analisis User Experience Aplikasi Mobile Facebook (Studi Kasus pada Mahasiswa Universitas Brawijaya),http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/1672,"… Penelitian ini dilakukan pada mahasiswa Universitas Brawijaya. Pengumpulan data dilakukan 
pada bulan Mei 2017 dengan menyebar kuesioner kepada 100 orang responden secara …"
"… Literasi, Inklusi Dan Pengelolaan Keuangan Terhadap Kinerja Dan Keberlanjutan UMKM (Studi Pada Pelaku Usaha Mikro Mahasiswa Universitas Brawijaya)",http://repository.ub.ac.id/178974/,"… oleh pelaku usaha Mikro Mahasiswa Universitas Brawijaya terhadap kinerja dan keberlanjutan 
… pelaku usaha mikro Mahasiswa Universitas Brawijaya dengan hasil penelitian yang …"
… Layanan dan Harga Terhadap Kepuasan Pelanggan Go-Ride (Survei pada Mahasiswa Fakultas Ilmu Administrasi Universitas Brawijaya Angkatan 2016/2017 dan …,http://repository.ub.ac.id/162611/,"Penelitian ini bertujuan untuk (1) mengetahui dan menjelaskan pengaruh signifikan Citra 
Merek terhadap Kepuasan Pelanggan (2) mengetahui dan menjelaskan pengaruh signifikan …"
… Consumer Review terhadap Trust dan Keputusan Pembelian (Survei pada Mahasiswa S1 Fakultas Ilmu Administrasi Universitas Brawijaya Angkatan 2015/2016 dan …,http://repository.ub.ac.id/166380/,"Penelitian ini bertujuan untuk: (1) untuk mengetahui pengaruh country of origin terhadap 
trust; (2) untuk mengetahui pengaruh online consumer review terhadap trust; (3) untuk …"
… pembelian (Penelitian pada mahasiswa Administrasi Bisnis angkatan 2012/2013 Fakultas Ilmu Administrasi Universitas Brawijaya yang mengkonsumsi produk mie …,https://www.neliti.com/publications/74110/pengaruh-perilaku-konsumen-terhadap-keputusan-pembelian-penelitian-pada-mahasisw,"Penelitian ini menggunakan explanatory research dengan latar belakang bahwa untuk 
mencapai tujuan penelitian yaitu untuk mengetahui dan menjelaskan pengaruh Perilaku …"
Analisis usability pada website universitas brawijaya dengan heuristic evaluation,http://jtiik.ub.ac.id/index.php/jtiik/article/view/194,"… Website resmi Universitas Brawijaya dengan domain ub.ac.id adalah media informasi 
online yang berisikan informasi tentang UB. Berdasarkan Pelayanan Informasi dan Komplain (…"
Penggunaan Metode User Centered Design (UCD) dalam Perancangan Ulang Web Portal Jurusan Psikologi FISIP Universitas Brawijaya,http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/1609,"Peranan website menjadi kebutuhan penting bagi suatu organisasi, termasuk pada jurusan 
Psikologi FISIP Universitas Brawijaya yang memanfaatkan website untuk memberikan …"
