,Unnamed: 0.1,Unnamed: 0,title,link,doi,abstract,year,Processed_Title
0,0,0,High-performance medicine: the convergence of human and artificial intelligence,https://www.semanticscholar.org/paper/f134abeaf9bfd41f29b97aec675ec31895bf541d,10.1038/s41591-018-0300-7,,2019.0,highperformance medicine convergence human artificial intelligence
1,1,1,"Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AI",https://www.semanticscholar.org/paper/530a059cb48477ad1e3d4f8f4b153274c8997332,10.1016/j.inffus.2019.12.012,,2019.0,explainable artificial intelligence xai concept taxonomy opportunity challenge toward responsible ai
2,2,2,Explanation in Artificial Intelligence: Insights from the Social Sciences,https://www.semanticscholar.org/paper/e89dfa306723e8ef031765e9c44e5f6f94fd8fda,10.1016/J.ARTINT.2018.07.007,,2017.0,explanation artificial intelligence insight social science
3,3,3,Sparks of Artificial General Intelligence: Early experiments with GPT-4,https://www.semanticscholar.org/paper/8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,DOI Unavailable,"Artificial intelligence (AI) researchers have been developing and refining large language models (LLMs) that exhibit remarkable capabilities across a variety of domains and tasks, challenging our understanding of learning and cognition. The latest model developed by OpenAI, GPT-4, was trained using an unprecedented scale of compute and data. In this paper, we report on our investigation of an early version of GPT-4, when it was still in active development by OpenAI. We contend that (this early version of) GPT-4 is part of a new cohort of LLMs (along with ChatGPT and Google's PaLM for example) that exhibit more general intelligence than previous AI models. We discuss the rising capabilities and implications of these models. We demonstrate that, beyond its mastery of language, GPT-4 can solve novel and difficult tasks that span mathematics, coding, vision, medicine, law, psychology and more, without needing any special prompting. Moreover, in all of these tasks, GPT-4's performance is strikingly close to human-level performance, and often vastly surpasses prior models such as ChatGPT. Given the breadth and depth of GPT-4's capabilities, we believe that it could reasonably be viewed as an early (yet still incomplete) version of an artificial general intelligence (AGI) system. In our exploration of GPT-4, we put special emphasis on discovering its limitations, and we discuss the challenges ahead for advancing towards deeper and more comprehensive versions of AGI, including the possible need for pursuing a new paradigm that moves beyond next-word prediction. We conclude with reflections on societal influences of the recent technological leap and future research directions.",2023.0,spark artificial general intelligence early experiment gpt4
4,4,4,Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),https://www.semanticscholar.org/paper/21dff47a4142445f83016da0819ffe6dd2947f66,10.1109/ACCESS.2018.2870052,"At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the existing approaches regarding the topic, discuss trends surrounding its sphere, and present major research trajectories.",2018.0,peeking inside blackbox survey explainable artificial intelligence xai
5,5,5,"Adaptation in Natural and Artificial Systems: An Introductory Analysis with Applications to Biology, Control, and Artificial Intelligence",https://www.semanticscholar.org/paper/4b4279db68b16e20fbc56f9d41980a950191d30a,10.7551/MITPRESS/1090.001.0001,"From the Publisher: 
Genetic algorithms are playing an increasingly important role in studies of complex adaptive systems, ranging from adaptive agents in economic theory to the use of machine learning techniques in the design of complex devices such as aircraft turbines and integrated circuits. Adaptation in Natural and Artificial Systems is the book that initiated this field of study, presenting the theoretical foundations and exploring applications. 
In its most familiar form, adaptation is a biological process, whereby organisms evolve by rearranging genetic material to survive in environments confronting them. In this now classic work, Holland presents a mathematical model that allows for the nonlinearity of such complex interactions. He demonstrates the model's universality by applying it to economics, physiological psychology, game theory, and artificial intelligence and then outlines the way in which this approach modifies the traditional views of mathematical genetics. 
Initially applying his concepts to simply defined artificial systems with limited numbers of parameters, Holland goes on to explore their use in the study of a wide range of complex, naturally occuring processes, concentrating on systems having multiple factors that interact in nonlinear ways. Along the way he accounts for major effects of coadaptation and coevolution: the emergence of building blocks, or schemata, that are recombined and passed on to succeeding generations to provide, innovations and improvements. 
John H. Holland is Professor of Psychology and Professor of Electrical Engineering and Computer Science at the University of Michigan. He is also Maxwell Professor at the Santa Fe Institute and isDirector of the University of Michigan/Santa Fe Institute Advanced Research Program.",1992.0,adaptation natural artificial system introductory analysis application biology control artificial intelligence
6,6,6,Impact of Artificial Intelligence in Customer Journey,https://www.semanticscholar.org/paper/f92922a9fe4e6bb603291249796d80d09d1fd9f3,10.38124/ijisrt/ijisrt24aug807,"The entire gamut of Customer journey is undergoing a massive transformation due to the rapid advancement of Artificial Intelligence (AI). Leveraging the power of AI , CRM & systems have refined the aspect of how businesses manage and optimize the customer journey. AI-powered systems have significant impact across various stages of the customer lifecycle by use of techniques such as machine learning to empower businesses to use systems that can analyse vast amounts of customer dataset in real-time, enabling them to gain deeper insights in customer behaviours, preferences, & sentiment. The AI-driven techniques help businesses to drive more personalized & targeted marketing campaigns, tailored recommendations, and extend efficient customer service leading ultimately to enhancing customer satisfaction and loyalty. Moreover, AI-powered systems have capabilities of offering predictive analytics which empower businesses to forecast customer behaviours and anticipate their needs. The capabilities help businesses in effective resource optimization and improve efficiency. For customer service AI-powered chatbots and virtual assistants are used to enhance engagement by providing instant responses and ability to handle resolving issues promptly.",2024.0,impact artificial intelligence customer journey
7,7,7,Artificial Intelligence and the Future of Work,https://www.semanticscholar.org/paper/2633a948f06a02417a39c9ff4e9c948bbad460d7,10.1007/978-3-030-69128-8_4,,2024.0,artificial intelligence future work
8,8,8,ARTIFICIAL INTELLIGENCE FOR THE REAL WORLD,https://www.semanticscholar.org/paper/7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,10.56726/irjmets42512,,2023.0,artificial intelligence real world
9,9,9,Explainable Artificial Intelligence (XAI),https://www.semanticscholar.org/paper/e1d2f2a717aa03280126f87c8e5fad695f52bf7c,10.48047/ijfans/v12/i1/271,"Explainable Artificial Intelligence (XAI) has emerged as a critical facet in the realm of machine learning and artificial intelligence, responding to the increasing complexity of models, particularly deep neural networks, and the subsequent need for transparent decision making processes. This research paper delves into the essence of XAI, unraveling its significance across diverse domains such as healthcare, finance, and criminal justice. As a countermeasure to the opacity of intricate models, the paper explores various XAI methods and techniques, including LIME and SHAP, weighing their interpretability against computational efficiency and accuracy. Through an examination of real-world applications, the research elucidates how XAI not only enhances decision-making processes but also influences user trust and acceptance in AI systems. However, the paper also scrutinizes the delicate balance between interpretability and performance, shedding light on instances where the pursuit of accuracy may compromise explain-ability. Additionally, it navigates through the current challenges and limitations in XAI, the regulatory landscape surrounding AI explain-ability, and offers insights into future trends and directions, fostering a comprehensive understanding of XAI's present state and future potential.",2023.0,explainable artificial intelligence xai
