title,abstract,authors,journal_conference_name,publisher,year,doi,group_name,Processed_Title,Topic,Topic_Probability,Topic_Keywords,Topic_Name
High-performance medicine: the convergence of human and artificial intelligence,,E. Topol,Nature Medicine,Unavailable,2019.0,10.1038/s41591-018-0300-7,Artificial Intelligence,highperformance medicine convergence human artificial intelligence,26,0.9999999998418374,"highperformance, convergence, human, medicine, intelligence, artificial, , , , ",26_highperformance_convergence_human_medicine
"Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AI",,Alejandro Barredo Arrieta; Natalia Díaz Rodríguez; J. Ser; Adrien Bennetot; S. Tabik; A. Barbado; S. García; S. Gil-Lopez; D. Molina; Richard Benjamins; Raja Chatila; Francisco Herrera,Inf. Fusion,Unavailable,2019.0,10.1016/j.inffus.2019.12.012,Artificial Intelligence,explainable artificial intelligence xai concept taxonomy opportunity challenge toward responsible ai,51,0.9999999999737016,"taxonomy, responsible, opportunity, concept, challenge, toward, ai, xai, explainable, intelligence",51_taxonomy_responsible_opportunity_concept
Explanation in Artificial Intelligence: Insights from the Social Sciences,,Tim Miller,Artif. Intell.,Unavailable,2017.0,10.1016/J.ARTINT.2018.07.007,Artificial Intelligence,explanation artificial intelligence insight social science,71,0.9999999999641275,"insight, explanation, social, science, intelligence, artificial, , , , ",71_insight_explanation_social_science
Sparks of Artificial General Intelligence: Early experiments with GPT-4,"Artificial intelligence (AI) researchers have been developing and refining large language models (LLMs) that exhibit remarkable capabilities across a variety of domains and tasks, challenging our understanding of learning and cognition. The latest model developed by OpenAI, GPT-4, was trained using an unprecedented scale of compute and data. In this paper, we report on our investigation of an early version of GPT-4, when it was still in active development by OpenAI. We contend that (this early version of) GPT-4 is part of a new cohort of LLMs (along with ChatGPT and Google's PaLM for example) that exhibit more general intelligence than previous AI models. We discuss the rising capabilities and implications of these models. We demonstrate that, beyond its mastery of language, GPT-4 can solve novel and difficult tasks that span mathematics, coding, vision, medicine, law, psychology and more, without needing any special prompting. Moreover, in all of these tasks, GPT-4's performance is strikingly close to human-level performance, and often vastly surpasses prior models such as ChatGPT. Given the breadth and depth of GPT-4's capabilities, we believe that it could reasonably be viewed as an early (yet still incomplete) version of an artificial general intelligence (AGI) system. In our exploration of GPT-4, we put special emphasis on discovering its limitations, and we discuss the challenges ahead for advancing towards deeper and more comprehensive versions of AGI, including the possible need for pursuing a new paradigm that moves beyond next-word prediction. We conclude with reflections on societal influences of the recent technological leap and future research directions.",Sébastien Bubeck; Varun Chandrasekaran; Ronen Eldan; J. Gehrke; Eric Horvitz; Ece Kamar; Peter Lee; Y. Lee; Yuan-Fang Li; Scott M. Lundberg; Harsha Nori; Hamid Palangi; Marco Tulio Ribeiro; Yi Zhang,ArXiv,Unavailable,2023.0,DOI Unavailable,Artificial Intelligence,spark artificial general intelligence early experiment gpt4,70,0.9999999999175998,"gpt4, general, experiment, early, spark, intelligence, artificial, , , ",70_gpt4_general_experiment_early
Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),"At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the existing approaches regarding the topic, discuss trends surrounding its sphere, and present major research trajectories.",Amina Adadi; M. Berrada,IEEE Access,Unavailable,2018.0,10.1109/ACCESS.2018.2870052,Artificial Intelligence,peeking inside blackbox survey explainable artificial intelligence xai,69,0.9999999998048941,"peeking, inside, blackbox, xai, survey, explainable, intelligence, artificial, , ",69_peeking_inside_blackbox_xai
"Adaptation in Natural and Artificial Systems: An Introductory Analysis with Applications to Biology, Control, and Artificial Intelligence","From the Publisher: 
Genetic algorithms are playing an increasingly important role in studies of complex adaptive systems, ranging from adaptive agents in economic theory to the use of machine learning techniques in the design of complex devices such as aircraft turbines and integrated circuits. Adaptation in Natural and Artificial Systems is the book that initiated this field of study, presenting the theoretical foundations and exploring applications. 
In its most familiar form, adaptation is a biological process, whereby organisms evolve by rearranging genetic material to survive in environments confronting them. In this now classic work, Holland presents a mathematical model that allows for the nonlinearity of such complex interactions. He demonstrates the model's universality by applying it to economics, physiological psychology, game theory, and artificial intelligence and then outlines the way in which this approach modifies the traditional views of mathematical genetics. 
Initially applying his concepts to simply defined artificial systems with limited numbers of parameters, Holland goes on to explore their use in the study of a wide range of complex, naturally occuring processes, concentrating on systems having multiple factors that interact in nonlinear ways. Along the way he accounts for major effects of coadaptation and coevolution: the emergence of building blocks, or schemata, that are recombined and passed on to succeeding generations to provide, innovations and improvements. 
John H. Holland is Professor of Psychology and Professor of Electrical Engineering and Computer Science at the University of Michigan. He is also Maxwell Professor at the Santa Fe Institute and isDirector of the University of Michigan/Santa Fe Institute Advanced Research Program.",J. Holland,,Unavailable,1992.0,10.7551/MITPRESS/1090.001.0001,Artificial Intelligence,adaptation natural artificial system introductory analysis application biology control artificial intelligence,68,0.9999999999246786,"natural, introductory, system, control, biology, analysis, adaptation, application, artificial, intelligence",68_natural_introductory_system_control
Impact of Artificial Intelligence in Customer Journey,"The entire gamut of Customer journey is undergoing a massive transformation due to the rapid advancement of Artificial Intelligence (AI). Leveraging the power of AI , CRM & systems have refined the aspect of how businesses manage and optimize the customer journey. AI-powered systems have significant impact across various stages of the customer lifecycle by use of techniques such as machine learning to empower businesses to use systems that can analyse vast amounts of customer dataset in real-time, enabling them to gain deeper insights in customer behaviours, preferences, & sentiment. The AI-driven techniques help businesses to drive more personalized & targeted marketing campaigns, tailored recommendations, and extend efficient customer service leading ultimately to enhancing customer satisfaction and loyalty. Moreover, AI-powered systems have capabilities of offering predictive analytics which empower businesses to forecast customer behaviours and anticipate their needs. The capabilities help businesses in effective resource optimization and improve efficiency. For customer service AI-powered chatbots and virtual assistants are used to enhance engagement by providing instant responses and ability to handle resolving issues promptly.",Murali Krishna Pendyala; Vishnu Varma Lakkamraju,International Journal of Innovative Science and Research Technology (IJISRT),Unavailable,2024.0,10.38124/ijisrt/ijisrt24aug807,Artificial Intelligence,impact artificial intelligence customer journey,67,0.7060853325939125,"customer, journey, impact, intelligence, artificial, , , , , ",67_customer_journey_impact_intelligence
ARTIFICIAL INTELLIGENCE FOR THE REAL WORLD,,Rajeev Ronanki; Andrew Nguyen,International Research Journal of Modernization in Engineering Technology and Science,Unavailable,2023.0,10.56726/irjmets42512,Artificial Intelligence,artificial intelligence real world,66,0.6318752061156613,"real, world, intelligence, artificial, , , , , , ",66_real_world_intelligence_artificial
Explainable Artificial Intelligence (XAI),"Explainable Artificial Intelligence (XAI) has emerged as a critical facet in the realm of machine learning and artificial intelligence, responding to the increasing complexity of models, particularly deep neural networks, and the subsequent need for transparent decision making processes. This research paper delves into the essence of XAI, unraveling its significance across diverse domains such as healthcare, finance, and criminal justice. As a countermeasure to the opacity of intricate models, the paper explores various XAI methods and techniques, including LIME and SHAP, weighing their interpretability against computational efficiency and accuracy. Through an examination of real-world applications, the research elucidates how XAI not only enhances decision-making processes but also influences user trust and acceptance in AI systems. However, the paper also scrutinizes the delicate balance between interpretability and performance, shedding light on instances where the pursuit of accuracy may compromise explain-ability. Additionally, it navigates through the current challenges and limitations in XAI, the regulatory landscape surrounding AI explain-ability, and offers insights into future trends and directions, fostering a comprehensive understanding of XAI's present state and future potential.",Ranu Sewada; Ashwani Jangid; Piyush Kumar; Neha Mishra,international journal of food and nutritional sciences,Unavailable,2023.0,10.48047/ijfans/v12/i1/271,Artificial Intelligence,explainable artificial intelligence xai,2,0.9999999995672633,"xai, explainable, medical, toward, survey, intelligence, artificial, , , ",2_xai_explainable_medical_toward
Revolutionizing healthcare: the role of artificial intelligence in clinical practice,"Introduction Healthcare systems are complex and challenging for all stakeholders, but artificial intelligence (AI) has transformed various fields, including healthcare, with the potential to improve patient care and quality of life. Rapid AI advancements can revolutionize healthcare by integrating it into clinical practice. Reporting AI’s role in clinical practice is crucial for successful implementation by equipping healthcare providers with essential knowledge and tools. Research Significance This review article provides a comprehensive and up-to-date overview of the current state of AI in clinical practice, including its potential applications in disease diagnosis, treatment recommendations, and patient engagement. It also discusses the associated challenges, covering ethical and legal considerations and the need for human expertise. By doing so, it enhances understanding of AI’s significance in healthcare and supports healthcare organizations in effectively adopting AI technologies. Materials and Methods The current investigation analyzed the use of AI in the healthcare system with a comprehensive review of relevant indexed literature, such as PubMed/Medline, Scopus, and EMBASE, with no time constraints but limited to articles published in English. The focused question explores the impact of applying AI in healthcare settings and the potential outcomes of this application. Results Integrating AI into healthcare holds excellent potential for improving disease diagnosis, treatment selection, and clinical laboratory testing. AI tools can leverage large datasets and identify patterns to surpass human performance in several healthcare aspects. AI offers increased accuracy, reduced costs, and time savings while minimizing human errors. It can revolutionize personalized medicine, optimize medication dosages, enhance population health management, establish guidelines, provide virtual health assistants, support mental health care, improve patient education, and influence patient-physician trust. Conclusion AI can be used to diagnose diseases, develop personalized treatment plans, and assist clinicians with decision-making. Rather than simply automating tasks, AI is about developing technologies that can enhance patient care across healthcare settings. However, challenges related to data privacy, bias, and the need for human expertise must be addressed for the responsible and effective implementation of AI in healthcare.",Shuroug A. Alowais; Sahar S. Alghamdi; Nada Alsuhebany; Tariq Alqahtani; Abdulrahman I. Alshaya; Sumaya N Almohareb; Atheer Aldairem; Mohammed A. Alrashed; Khalid Bin saleh; H. Badreldin; Majed S Al Yami; Shmeylan A. Al Harbi; Abdulkareem M. Albekairy,BMC Medical Education,Unavailable,2023.0,10.1186/s12909-023-04698-z,Artificial Intelligence,revolutionizing healthcare role artificial intelligence clinical practice,65,0.9999999998746708,"revolutionizing, practice, clinical, role, healthcare, intelligence, artificial, , , ",65_revolutionizing_practice_clinical_role
